City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
287,Maceio,BR,76.44,scattered clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
290,French Harbor,HN,84.2,scattered clouds,16.35,-86.4333,"Fantasy Island Beach Resort, Dive & Marina"
293,Santa Rosa,PH,89.58,broken clouds,14.3122,121.1114,Erlyn’s Sta Rosa City Home
297,Yashan,CN,77.68,light rain,22.1975,109.9419,Xin Kaibin Guan
298,Port Blair,IN,82.44,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
304,Saint-Georges,GD,80.28,few clouds,12.0564,-61.7485,Radisson Grenada Beach Resort
306,Ponca City,US,89.56,clear sky,36.707,-97.0856,"Holiday Inn Express & Suites Ponca City, an IHG Hotel"
308,Puerto Ayacucho,VE,76.41,overcast clouds,5.6639,-67.6236,Posada Turistica Manapiare
309,Sampit,ID,80.19,overcast clouds,-2.5333,112.95,Aquarius Boutique Hotel Sampit
310,Auki,SB,85.75,overcast clouds,-8.7676,160.7034,Auki Motel
314,Lufilufi,WS,85.78,few clouds,-13.8745,-171.5986,Leuaina Beach Resort and Spa
316,Kavieng,PG,85.68,broken clouds,-2.5744,150.7967,Nusa Island Retreat
317,Gao,ML,84.07,clear sky,16.6362,1.637,Hotel Name
321,Barkhan,PK,77.45,few clouds,29.8977,69.5256,Sardar
326,Cabedelo,BR,75.87,overcast clouds,-6.9811,-34.8339,Hotel Pigalle
328,Tomatlan,MX,80.64,clear sky,19.9333,-105.25,El Salvial
333,Phalodi,IN,84.15,clear sky,27.1333,72.3667,"HOTEL NEW GOLDEN PALACE , PHALODI"
338,Teocaltiche,MX,87.31,scattered clouds,21.4333,-102.5833,Hotel los Caxcanes
339,Bintulu,MY,79.21,few clouds,3.1667,113.0333,900 Boutique INN
340,Manaquiri,BR,79.29,overcast clouds,-3.3167,-60.35,Hotel Name
347,Gushikawa,JP,76.23,scattered clouds,26.3544,127.8686,Kirari Guest House
349,Witu,KE,80.76,scattered clouds,-2.3889,40.4382,Hotel Name
350,Karratha,AU,77.41,scattered clouds,-20.7377,116.8463,ibis Styles Karratha
354,Tharad,IN,80.38,few clouds,24.3961,71.6267,Suresh Parmar
360,Sur,OM,86.11,clear sky,22.5667,59.5289,Sur Plaza Hotel
366,Bhadrachalam,IN,87.15,overcast clouds,17.6667,80.8833,Hotel Srinidhi Residency
368,Banda Aceh,ID,82.81,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
370,Ndele,CF,75.56,broken clouds,8.4109,20.6473,Hotel Name
373,Corozal,CO,78.37,overcast clouds,9.3151,-75.2928,Hotel Perla De La Sabana
378,Kuching,MY,79.02,few clouds,1.55,110.3333,Hilton Kuching
381,Kita,ML,86.83,broken clouds,13.0349,-9.4895,Hôtel Chat Rouge
384,Saint Anthony,US,83.82,clear sky,45.0205,-93.218,Holiday Inn Express Roseville-St. Paul
388,Abu Dhabi,AE,82.51,clear sky,24.4667,54.3667,Beach Rotana
390,Ciudad Bolivar,VE,87.3,overcast clouds,8.1222,-63.5497,Hotel Edi
394,Les Cayes,HT,76.23,clear sky,18.2,-73.75,Villa Orphee
397,Manzanillo,CU,79.03,clear sky,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
409,Iranshahr,IR,79.14,clear sky,27.2025,60.6848,نیک سرشت
412,Tiznit,MA,75.54,clear sky,29.5833,-9.5,Hotel Name
415,Maturin,VE,77.81,clear sky,9.75,-63.1767,Hotel Residencial La Pichincha
431,Monrovia,LR,79.12,overcast clouds,6.3005,-10.7969,Sunset Inn
432,Tautira,PF,81.14,scattered clouds,-17.7333,-149.15,Pension Oaoa
436,Port Keats,AU,82.72,overcast clouds,-14.25,129.55,TDC Village (Hundred Man Camp)
437,Am Timan,TD,88.29,overcast clouds,11.0297,20.2827,Palais du chef Canton Salamt
438,Salinopolis,BR,75.52,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
443,Adrar,MR,83.34,clear sky,20.5022,-10.0711,Hotel Name
444,Nishihara,JP,76.28,broken clouds,26.1842,127.7558,Minshuku Agaihama
445,Jhawarian,PK,86.11,broken clouds,32.3614,72.6228,Asif Sweet Villas homes
448,Najran,SA,75.85,clear sky,17.4924,44.1277,محمد هادي ال فطيح
453,Ghanaur,IN,82.72,clear sky,30.3322,76.6072,Khan Tea Stall
455,Pitimbu,BR,75.79,overcast clouds,-7.4706,-34.8086,Reserva do Abiaí
456,Na Wa,TH,85.23,moderate rain,17.4897,104.1006,ร้านช่างเจมส์ สแตนเลส ประตู อื่นๆ คอกซิ่ง นาหว้านครพนม
457,Kavaratti,IN,85.33,overcast clouds,10.5669,72.642,Hotels in Lakshadweep Islands
458,Passo De Camaragibe,BR,76.55,overcast clouds,-9.2368,-35.4901,Chácara vovó candinha
459,Miri,MY,78.94,few clouds,4.4148,114.0089,"Mega Hotel, Miri"
460,Guane,CU,77.79,light rain,22.2025,-84.0875,base de Campismo LosPortales de Guane
469,Rong Kwang,TH,78.28,overcast clouds,18.339,100.3174,Rong Kwang Hotel
472,Niamey,NE,89.89,clear sky,13.5137,2.1098,Soluxe Hotel Niamey
474,Dunmore Town,BS,75.72,broken clouds,25.5,-76.65,Coral Sands Hotel
