City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Luderitz,NA,-26.6481,15.1594,59.74,52,6,6.04,clear sky
80,Guerrero Negro,MX,27.9769,-114.0611,61.84,64,0,23.02,clear sky
81,Saskylakh,RU,71.9167,114.0833,27.84,96,100,9.44,light snow
82,Yellowknife,CA,62.456,-114.3525,27.12,63,100,20.71,overcast clouds
83,Namibe,AO,-15.1961,12.1522,73.45,56,0,6.33,clear sky
84,Mitu,CO,1.1983,-70.1733,72.75,97,94,1.45,overcast clouds
85,Clyde River,CA,70.4692,-68.5914,21.43,86,100,21.85,overcast clouds
86,Arlit,NE,18.7369,7.3853,91.33,20,5,7.25,clear sky
87,Nova Olimpia,BR,-14.7972,-57.2881,74.82,63,18,0.45,few clouds
88,Great Falls,US,47.5002,-111.3008,52.99,24,40,21.85,scattered clouds
89,New Norfolk,AU,-42.7826,147.0587,56.91,62,8,3.09,clear sky
90,Salalah,OM,17.0151,54.0924,80.69,78,0,1.14,clear sky
91,East London,ZA,-33.0153,27.9116,61.72,66,21,5.3,few clouds
92,Tuktoyaktuk,CA,69.4541,-133.0374,42.8,56,100,8.05,overcast clouds
93,Port Moresby,PG,-9.4431,147.1797,90.82,66,40,9.22,haze
94,Vardo,NO,70.3705,31.1107,35.58,93,100,13.8,overcast clouds
95,Halvad,IN,23.0167,71.1833,81.25,67,11,6.4,few clouds
96,Turinsk,RU,58.0458,63.696,48.56,58,85,7.02,overcast clouds
97,Castro,BR,-24.7911,-50.0119,54.28,96,1,4.7,clear sky
98,Tasiilaq,GL,65.6145,-37.6368,33.96,68,97,2.1,overcast clouds
99,Carnot,CF,4.9409,15.8665,69.57,78,46,0.22,scattered clouds
100,Havre-Saint-Pierre,CA,50.2334,-63.5986,41.36,56,0,6.91,clear sky
101,Bredasdorp,ZA,-34.5322,20.0403,52.07,83,98,4.12,overcast clouds
102,Buchanan,LR,5.8808,-10.0467,78.85,84,100,3.96,overcast clouds
103,Cabo San Lucas,MX,22.8909,-109.9124,84.61,44,0,8.05,clear sky
104,Sacama,EC,-3.9,-79.2667,50.27,96,33,4.14,light rain
105,Lorengau,PG,-2.0226,147.2712,85.8,66,93,11.72,overcast clouds
106,Venlo,NL,51.3667,6.1667,62.01,79,100,6.11,overcast clouds
107,Ayni,TJ,39.3941,68.5377,61.27,81,100,1.7,overcast clouds
108,Alofi,NU,-19.0595,-169.9187,80.49,69,75,13.8,broken clouds
109,Liwonde,MW,-15.0506,35.2035,64.63,88,1,2.13,clear sky
110,Cayenne,GF,4.9333,-52.3333,82.09,1,20,7.0,few clouds
111,Deputatskiy,RU,69.3,139.9,14.13,77,100,8.7,overcast clouds
112,Butaritari,KI,3.0707,172.7902,81.57,74,12,19.39,few clouds
113,Nioro,GM,13.35,-15.75,80.28,50,100,6.6,overcast clouds
114,Columbus,US,39.9612,-82.9988,73.81,33,0,11.5,clear sky
115,Nome,US,64.5011,-165.4064,35.17,75,40,24.16,scattered clouds
116,Jibuti,DJ,11.5,42.5,79.25,64,4,7.85,clear sky
117,Port Hedland,AU,-20.3167,118.5667,75.25,20,26,13.8,scattered clouds
118,Cape Town,ZA,-33.9258,18.4232,53.11,93,0,5.75,clear sky
